title;bookNumber;category_id
SGK Công Nghệ 8;Sc;1
SGK Địa lí 8;Sd;2
SGK Giáo dục Công Dân 8;Sgi;2
SGK Hóa 8;Sh;1
SGK Lịch Sử 8;Sl;1
SGK Ngữ Văn (tập 2);Sng;2
Cùng nhau nhập môn tin học (tập 1);C513nh;7
Cùng nhau ta đi lên;C513nh_1;15
Cuộc dời nghệ sĩ Xu Man;C514d;7
Cuộc đời nghệ sĩ Xu Man;C514đ;2
Cuộc phiêu lưu của ong vàng;C514ph;16
Cuộc phiêu lưu của ong vàng;C514ph_1;8
Cuốn sách khổng lồ về các ngôi sao và các hành tinh;C517s;5
Cuốn sách khổng lồ về các ngôi sao và hành tinh;C517s_1;13
Cuốn sách khổng lồ về tên lửa và các thiết bị về vũ trụ;C517s_2;1
Cuốn sách khổng lồ về tên lửa và các thiết bị vũ trụ;C517s_3;2
Đá;D100;6
Đá;Đ100;10
Đại số 9( Trắc nghiệm);D103s;1
Đại thắng mùa xuân 1975 và những đổi thay kì diệu của đất nước;D103th;6
Đại thắng mùa xuân 1975 và những đổi thay kì diệu của đất nước;Đ103th;14
Đại thắng mùa xuân 1975 và những đổi thay kì diệu của đất nước;Đ103th_1;8
Đại thắng mùa xuân 1975 và những đổi thay kì diệu của đất nước;Đ103th_2;3
Đại thắng mùa xuân 1975 và những đổi thay kỳ diệu của đất nước;Đ103th_3;6
Đàm đạo với khổng tử;D104d;15
Đàm đạo với Khổng Tử;Đ104đ;13
Đàm đạo với lão tử;D104d_1;15
Đàm đạo với Lão Tử;Đ104đ_1;1
Đàm đạo với phật bà;D104d_2;11
Đàm Đạo với Phật Đá;Đ104đ_2;14
Đàm đạo với Phật đà;Đ104đ_3;5
Đàm đạo với phật đà;D104d_3;1
Đam mê bí quyết tạo thành công;Đ104m;10
Đam mê bí quyết thành công;D104m;16
Đàn vịt bơi qua sông;D105v;9
Đáng tin cậy;D106t;9
Đáng tin cậy;Đ106t;9
Dành cho những cô gái đang yêu;D107ch;7
Dành cho những cô gái đang yêu;D107ch_1;12
Dành cho những cô gái đang yêu;D107ch_2;10
Danh nhân thế giới;D107nh;14
Danh nhân thế giới;D107nh_1;3
Danh y;D107y;3
Danhy;D;7
Đạo làm người;D108l;3
Đạo làm người;Đ108l;7
Đảo vàng;D108v;7
Dấu chân trong rừng;D125ch;2
Dấu chân trong rừng;D125ch_1;15
Dạy - học văn học nước ngoài trong chương trình THCS - tập 3- dùng cho khối lớp 9;D112-;5
Dạy học tiếng việt THCS;D112h;7
Dạy học văn học nước ngoài 6,7;D112h_1;7
Dạy học văn học nước ngoài 9;D112h_2;4
Dạy- Học văn học nước ngoài Ct THCS (Tập 3) k9;D112h_3;9
Dạy nghề ngắn hạn cho học sinh trường THCS có nguyện vọng học nghề nấu ăn;D112ngh;16
Dạy nghề truyền thống , nghề đan lát;D112ngh_1;5
Dạy tốt học tốt môn GDCD ;D112t;14
Dạy và học từ láy ở trường phổ thông;D112v;1
Dạy và học từ láy ở trường PT;D112v_1;2
Đẻ đất đẻ nước;D200d;1
Đẻ đất đẻ nước;Đ200đ;1
Để học tốt đại số 8;D250h;9
Để học tốt Địa lí 6;Đ250h;1
Để học tốt Địa lí 7;Đ250h_1;11
Để học tốt Địa lí 8;Đ250h_2;10
Để học tốt Địa lí 9;Đ250h_3;4
Để học tốt Hình học 8;D250h_1;16
Để học tốt Hóa học 8;Đ250h_4;16
Để học tốt Hóa học 8;Đ250h_5;9
Để học tốt Hóa học 9;Đ250h_6;1
Để học tốt Lịch sử 6;Đ250h_7;10
Để học tốt Lịch sử 7;Đ250h_8;9
Để học tốt Lịch sử 8;Đ250h_9;2
Để học tốt Lịch sử 9;Đ250h_10;5
Để học tốt Ngữ văn 6;Đ250h_11;7
Để học tốt Ngữ Văn 6, tập 1;Đ250h_12;11
Để học tốt Ngữ Văn 6, tập 2;Đ250h_13;9
Để học tốt Ngữ văn 7;Đ250h_14;4
Để học tốt Ngữ Văn 7, tập 1;Đ250h_15;16
Để học tốt Ngữ Văn 7, tập 2;Đ250h_16;6
Để học tốt Ngữ văn 8;Đ250h_17;9
Để học tốt Ngữ văn 8, tập 1;Đ250h_18;8
Để học tốt Ngữ văn 8, tập 2;Đ250h_19;5
Để học tốt Ngữ văn 9;Đ250h_20;5
Để học tốt Ngữ Văn 9, tập 1;Đ250h_21;8
Để học tốt Ngữ Văn 9, tập 2;Đ250h_22;7
Để học tốt Sinh học 6;Đ250h_23;9
Để học tốt Sinh học 7;Đ250h_24;4
Để học tốt Sinh học 8;Đ250h_25;9
Để học tốt Sinh học 8;Đ250h_26;3
Để học tốt Sinh học 9;Đ250h_27;14
Để học tốt Toán 6 - Tập 1;Đ250h_28;16
Để học tốt Toán 7- Tập 1;Đ250h_29;10
Để học tốt Toán 8- Tập 1;Đ250h_30;8
Để học tốt Toán 9- Tập 1;Đ250h_31;4
Để học tốt toán Đại số 8;D250h_2;7
Để học tốt Toán Đại số 8;Đ250h_32;1
Để học tốt toán Hình học 8;D250h_3;6
Để học tốt Toán Hình học 8;Đ250h_33;3
Để học tốt Vật lí 6;Đ250h_34;1
Để học tốt Vật lí 7;Đ250h_35;3
Để học tốt Vật lí 8;Đ250h_36;4
Để học tốt Vật lí 9;Đ250h_37;5
Đề kiểm tra  Học kì Cấp THCS 9;D250k;14
Đề kiểm tra  Học kì Cấp THCS 9;D250k_1;7
Đề kiểm tra  Học toán 9 theo chuẩn KT-KN;D250k_2;1
Đề kiểm tra  sinh học 9;D250k_3;4
Đề Kiểm Tra chuẩn Kiến Thức Kỹ Năng Ngữ Văn 7;D250k_4;1
Đề Kiểm Tra chuẩn Kiến Thức Kỹ Năng Sinh học 7;D250k_5;6
Đề Kiểm Tra chuẩn Kiến Thức Kỹ Năng vật lý 7 ;Đ250k;13
Đề Kiểm Tra HK Cấp THCS Môn Ngữ Văn- Sử- Địa- GDCD- ÂN-MT lớp 7;D250k_6;6
Đề Kiểm Tra HK Cấp THCS Môn Tiếng Anh- Tiếng Pháp- Nga- Trung Quốc- TD lớp 7;D250k_7;9
Đề kiểm tra học kì :Văn, Sử, Địa,GDCD, Nhạc, Mỹ thuật;D250k_8;12
Đề kiểm tra học kì cấp THCS  lớp 7 môn Ngữ văn, Lịch sử, Đía lí , GDCD, Âm nhạc, Mĩ thuật;Đ250k_1;13
Đề kiểm tra học kì cấp THCS  lớp 8 môn Ngữ văn, Lịch sử, Đía lí , GDCD, Âm nhạc, Mĩ thuật;Đ250k_2;11
Đề kiểm tra học kì cấp THCS lớp 6 môn Toán, vật lí, sinh học, công nghệ;Đ250k_3;13
Đề kiểm tra học kì cấp THCS lớp 8 môn Toán, Vật lí, Hóa học, Sinh học, Công nghệ;Đ250k_4;15
Đề kiểm tra học kì cấp THCS môn Ngữ văn - Lịch sử - Địa lí - GDCD - Âm nhạc - Mĩ thuật lớp 6;Đ250k_5;11
Đề kiểm tra học kì cấp THCS môn Ngữ văn. Lịch sử, Địa lí, GDCD, Âm nhạc, Mĩ Thuật  9;Đ250k_6;6
Đề kiểm tra học kì cấp THCS môn Tiếng Anh - Tiếng Pháp - Tiếng Nga-Tiếng Trung Quốc - Thể dục lớp 6;Đ250k_7;10
Đề kiểm tra học kì cấp THCS môn Tiếng Anh, Pháp, Nga, Trung quốc, TD;D250k_9;6
Đề kiểm tra học kì cấp THCS môn Tiếng anh, tiếng Pháp, tiếng Nga, tiếng Trung Quốc, Thể dục 8;Đ250k_8;11
Đề kiểm tra học kì cấp THCS môn Tiếng anh, tiếng Pháp, tiếng Nga, tiếng Trung Quốc, Thể dục 9;Đ250k_9;8
Đề kiểm tra học kì cấp THCS môn Toán, Lí, Hóa, Sinh, Công nghệ;D250k_10;12
Đề kiểm tra học kì cấp THCS môn Văn, Sử, Địa, GDCD, Nhạc, MT;D250k_11;6
Đề kiểm tra học kì cấp trung học cơ sở lớp 7 môn Tiếng Anh, tiếng Pháp, Tiếng Nga, tiếng trung Quốc, thể dục;Đ250k_10;12
Đề kiểm tra học kì cấp trung học cơ sở môn toán,lí ,hóa học,sinh học,công nghệ lớp 9;Đ250k_11;7
Đề kiểm tra học kì Tiếng Anh,Pháp,Nga,Trung Quốc,Thể dục;D250k_12;8
Đề kiểm tra học kì Toán, Lí, Sinh,Công nghệ 6;D250k_13;3
Đề kiểm tra học kì Toán, Lý, Sinh, Công nghệ 7;D250k_14;3
Đề kiểm tra học kì toán,lí,sinh,công nghệ 6;D250k_15;6
Đề kiểm tra học kỳ cấp THCS 8;D250k_16;11
Đề kiểm tra sinh học 9;D250k_17;12
Đề kiểm tra Sinh học 9;Đ250k_12;9
Đề kiểm tra theo chuẩn kiến thức kĩ năng 6 môn Ngữ văn;D250k_18;5
Đề kiểm tra theo chuẩn kiến thức kĩ năng Địa lí 8;D250k_19;12
Đề kiểm tra theo chuẩn kiến thức kĩ năng GDCD 6;D250k_20;9
Đề kiểm tra theo chuẩn kiến thức kĩ năng GDCD 8;D250k_21;12
Đề kiểm tra theo chuẩn kiến thức kĩ năng Lịch sử 8;D250k_22;8
Đề kiểm tra theo chuẩn kiến thức kĩ năng Ngữ văn 8;D250k_23;10
Đề kiểm tra theo chuẩn kiến thức kĩ năng sinh 6;D250k_24;5
Đề kiểm tra theo chuẩn kiến thức kĩ năng Sinh 8;D250k_25;16
Đề kiểm tra theo chuẩn kiến thức kĩ năng Sử 6;D250k_26;9
Đề kiểm tra theo chuẩn kiến thức kỉ năng sử 6;D250k_27;13
Đề kiểm tra theo chuẩn kiến thức kĩ năng tiếng Anh 6;D250k_28;7
Đề kiểm tra theo chuẩn kiến thức kĩ năng Tiếng Anh 8;D250k_29;11
Đề kiểm tra theo chuẩn kiến thức kĩ năng Tin học ( Q3);D250k_30;16
Đề kiểm tra theo chuẩn kiến thức kĩ năng Toán 8;D250k_31;16
Đề kiểm tra theo chuẩn kiến thức kĩ năng Toán 9;D250k_32;10
Đề kiểm tra theo chuẩn kiến thức kĩ năng vật lí 6;D250k_33;14
Đề Kiểm Tra Theo chuẩn kiến thức kỹ năng Toán 7;D250k_34;8
Đề kiểm tra theo chuẩn kiến thức kỹ năng vật lí 8 ;D250k_35;7
Đề Kiểm Tra theo chuẩn kiến thức kỹ năng Vật Lý 7;D250k_36;6
Đề kiểm tra theo chuẩn kiến thức Tiếng Anh kĩ năng 6;D250k_37;4
Đề kiểm tra theo chuẩn kiến thức Toán 6 ;D250k_38;6
Đề kiểm tra theo chuẩn kiến thức, kĩ năng  Hóa học 9;Đ250k_13;3
Đề kiểm tra theo chuẩn kiến thức, kĩ năng  Ngữ văn  6;Đ250k_14;3
Đề kiểm tra theo chuẩn kiến thức, kĩ năng  Ngữ văn  9;Đ250k_15;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng  Sinh học  9;Đ250k_16;16
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Địa lí 8;Đ250k_17;13
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Địa lí 9;Đ250k_18;16
Đề kiểm tra theo chuẩn kiến thức, kĩ năng GDCD 6;Đ250k_19;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng GDCD 8;Đ250k_20;7
Đề kiểm tra theo chuẩn kiến thức, kĩ năng GDCD 9;Đ250k_21;7
Đề kiểm tra theo chuẩn kiến thức, kĩ năng hóa học 8;Đ250k_22;3
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Lịch sử 6;Đ250k_23;7
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Lịch sử 8;Đ250k_24;16
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Lịch sử 9;Đ250k_25;15
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Ngữ văn 6;Đ250k_26;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Ngữ Văn 7;Đ250k_27;5
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Sinh học 6;Đ250k_28;15
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Sinh học 7;Đ250k_29;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng sinh học 8;Đ250k_30;9
Đề kiểm tra theo chuẩn kiến thức, kĩ năng tiếng Anh 6;Đ250k_31;8
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Tiếng anh 8;Đ250k_32;1
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Tin học dành cho THCS quyển 2;Đ250k_33;1
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Tin học dành cho THCS quyển 3;Đ250k_34;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Tin học dành cho THCS quyển 4;Đ250k_35;10
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Toán 6;Đ250k_36;5
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Toán 7;Đ250k_37;10
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Toán 8;Đ250k_38;3
Đề kiểm tra theo chuẩn kiến thức, kĩ năng toán 9;Đ250k_39;4
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Vật lí 6;Đ250k_40;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Vật lí 7;Đ250k_41;14
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Vật lí 8;Đ250k_42;4
Đề kiểm tra theo chuẩn kiến thức, kĩ năng Vật lí 9;Đ250k_43;6
Đề kiểm tra theo chuẩn KT-KN GDCD 9;D250k_39;11
Đề kiểm tra theo chuẩn KT-KN GDCD 9;D250k_40;12
Đề kiểm tra theo chuẩn KT-KN Hóa Học 9;D250k_41;12
Đề kiểm tra theo chuẩn KT-KN Lịch sử 9 ;D250k_42;1
Đề kiểm tra theo chuẩn KT-KN ngữ văn 9;D250k_43;4
Đề kiểm tra theo chuẩn KT-KN Sinh 9;D250k_44;15
Đề kiểm tra theo chuẩn KT-KN Tin Học 9 quyển 4;D250k_45;15
Đề kiểm tra theo chuẩn KT-KN Tin học quyển 2 THCS;D250k_46;12
Đề kiểm tra theo chuẩn KT-KN Toán 9;D250k_47;1
Đề kiểm tra theo chuẩn KT-KN Vật lí 9 ;D250k_48;12
Đề kiểm tra theo CKT, Kĩ năng;D250k_49;12
Đề kiểm tra theo CKT, Kĩ năng Toán 6 ( Tập 1);D250k_50;13
Đề kiểm tra theo CKT, Kĩ năng Toán 6 ( Tập 2);D250k_51;7
Đề kiểm tra theo CKTKN Hóa 8;D250k_52;16
Đề Kiểm tra theo CKTKN Tiếng Anh 7;D250k_53;11
Đề kiểm tra theo kiến thức kĩ năng Ngữ văn 8;Đ250k_44;2
Đề kiểm tra Vật Lý 7;D250k_54;2
Đề KT theo chuẩn KTKN GDCD 7;D250k_55;4
Đề KT theo chuẩn KTKN Vật lý 6;D250k_56;16
Để làm tốt bài bài văn nghị luận xã hội;Đ250l;14
Để làm tốt bài văn nghị luận xã hội;D250l;15
Để thỏa lòng bạn muốn;D250th;6
Để thỏa lòng bạn muốn;Đ250th;2
Đến với những bài thơ của chủ tịch Hồ Chí Minh;D254v;9
DH học và làm bài tập ngữ văn 6;Dh;6
Đi tìm lẽ sống ;D300t;13
Đi tìm lẽ sống;Đ300t;3
Địa 6;D3016;6
Địa lí 6;D301l;11
Địa lí 6, sách giáo viên;Đ301l;15
Địa lí 7;D301l_1;1
Địa lí 7, sách giáo viên;Đ301l_1;5
Địa lí 8;Đ301l_2;7
Địa lí 8;D301l_2;6
Địa lí 8 - SGV;Đ301l_3;1
Địa lí 8, sách giáo viên;Đ301l_4;5
Địa lí 9;D301l_3;4
Địa Lí 9;Đ301l_5;6
Địa lí 9 (bài tập);D301l_4;14
Địa lí 9 (Chương trình địa phương tỉnh Hưng Yên);Đ301l_6;6
Địa lí 9 (SGV);D301l_5;14
Địa lí 9 (Tài liệu giáo dục địa phương Hải Phòng);Đ301l_7;3
Địa lí 9 (Tài liệu giáo dục địa phương tỉnh Lào Cai);Đ301l_8;2
Địa lí 9 (Tài liệu giáo dục địa phương tỉnh Ninh Bình);Đ301l_9;6
Địa lí 9 (Tài liệu giáo dục địa phương tỉnh Phú Thọ);Đ301l_10;4
Địa lí 9 (Tài liệu giáo dục địa phương tỉnh Tuyên Quang);Đ301l_11;15
Địa lí 9 -SGV;Đ301l_12;10
Địa lí 9, sách giáo viên;Đ301l_13;3
Địa lí các tỉnh và thành phố Việt Nam;Đ301l_14;12
Địa lí các tỉnh và thành phố Việt Nam;D301l_6;1
Địa lí các tỉnh và thành phố Việt Nam - tập 3;Đ301l_15;1
Địa lí địa phương Sóc Trăng (Tài liệu dạy – học tại các trường THCS và THPT thuộc tỉnh Sóc Trăng);Đ301l_16;3
Địa lí địa phương tỉnh Quảng Ninh (Sách dùng trong trường THCS và THPT);Đ301l_17;10
Địa lí địa phương Trà Vinh;D301l_7;7
Địa lí địa phương Trà Vinh;Đ301l_18;12
Địa lí địa phương Trà Vinh;D301l_8;10
Địa lí trong trường học;D301l_9;7
Địa lí trong trường học - tập 1;Đ301l_19;14
Địa lí trong trường học - tập 2;Đ301l_20;8
Địa lí Trong Trường học tập 2;D301l_10;5
Địa lý 7;D301l_11;7
Địa lý 8;D301l_12;9
Địa lý 9;D301l_13;12
